Performer,Metascore
Sawa Masaki,23.0
Sawandi Wilson,29.0
Sawyer Barth,76.0
Sawyer Ellis White,48.0
Sawyer Ever,50.0
Sawyer Nunes,33.0
Sawyer Pierce,72.0
Sawyer Shipman,64.0
Sawyer Simpkins,38.0
Saxon Sharbino,41.666666666666664
Saxon Trainor,49.0
Saxton Johnson,60.0
Sayed Badreya,46.666666666666664
Sayed Jafar Masihullah Gharibzada,61.0
Sayeed Shahidi,30.0
Saylor Creswell,61.5
Sazan Bardha,71.0
Saïd Amadis,48.5
Saïd Taghmaoui,61.9
Scali Delpeyrat,61.0
Scamp,61.0
Scarlet Lizbeth,72.0
Scarlett Bermingham,65.0
Scarlett Chorvat,27.0
Scarlett Estevez,41.0
Scarlett Giuliano,64.0
Scarlett Hollinger,72.0
Scarlett Johansson,63.476190476190474
Scarlett Lindsey,77.0
Scarlett McAlister,38.5
Scarlett Pomers,62.0
Scatman Crothers,55.36363636363637
Schann Mobley,71.0
Schecter Lee,48.0
Schin A.S. Kerr,58.0
Schlitze,80.0
Schooly-D,32.0
Schuyler Fisk,47.6
Schuyler Helford,69.0
Schuyler White,69.0
Scoody Thornton,31.0
Scoop Nemeth,60.0
Scoot McNairy,57.666666666666664
Scoot Powell,50.0
Scooter Stephan,53.0
Scooter Stevens,51.0
Scot Belsky,53.0
Scot Greenan,51.5
Scot Robinson,63.0
Scot Zeller,44.0
Scotch Ellis Loring,43.0
Scott A. Martin,62.0
Scott A. Meola,58.0
Scott Adkins,49.833333333333336
Scott Adsit,52.916666666666664
Scott Alan Smith,27.0
Scott Alexander Young,68.0
Scott Allan Campbell,61.0
Scott Allegrucci,53.0
Scott Allen Cooper,50.0
Scott Andersen,69.0
Scott Anderson,50.0
Scott Andrews,46.0
Scott Anthony Leet,37.0
Scott Atkinson,43.0
Scott Bailey,36.5
Scott Baio,34.5
Scott Bairstow,36.0
Scott Baisden,77.0
Scott Bakula,45.7
Scott Barry,69.0
Scott Beach,75.0
Scott Beehner,49.333333333333336
Scott Bellefeville,24.0
Scott Bellis,39.5
Scott Benjaminson,71.0
Scott Benton,28.0
Scott Brady,74.0
Scott Breitenstein,51.0
Scott Brian Cooper,47.0
Scott Broderick,74.0
Scott Brown,68.0
Scott Burkholder,54.5
Scott Caan,47.0
Scott Campbell,45.0
Scott Capurro,53.0
Scott Caudill,38.333333333333336
Scott Cervine,35.0
Scott Chamberlain,60.0
Scott Chan,39.5
Scott Chernoff,57.0
Scott Clackum,82.0
Scott Coffey,50.42857142857143
Scott Cohen,59.214285714285715
Scott Colomby,37.5
Scott Colquitt,53.0
Scott Coogan,83.0
Scott Cooper,62.0
Scott Crane,63.0
Scott Crouch,60.0
Scott De La Cruz,43.0
Scott DeFalco,50.0
Scott DeVenney,54.0
Scott Denny,73.0
Scott Dillin,37.0
Scott Douglas,68.0
Scott E. Miller,59.0
Scott Eastwood,49.0
Scott Edmonds,35.0
Scott Edmund Lane,26.0
Scott Edward Logan,22.0
Scott Elias,52.0
Scott Eliasoph,68.0
Scott Elrod,56.0
Scott Evans,36.5
Scott Ferrall,70.0
Scott Firestone,84.0
Scott Fisher,26.0
Scott Fletcher,45.0
Scott Foley,40.2
Scott Ford,16.0
Scott Forrester,20.0
Scott Fowler,59.0
Scott Foxx,72.0
Scott Friend,79.0
Scott Garan,31.0
Scott Getlin,51.0
Scott Gibson,50.333333333333336
Scott Glascock,56.0
Scott Glenn,59.81481481481482
Scott Goetz,65.0
Scott Goldman,66.0
Scott Graham,61.0
Scott Griffith,44.0
Scott Grimes,50.5
Scott Grossman,31.0
Scott Gurney,53.0
Scott H. Reiniger,71.0
Scott Halberstadt,33.0
Scott Hamilton,64.0
Scott Handy,56.0
Scott Hanley,19.0
Scott Harlan,75.0
Scott Hass,72.0
Scott Haze,54.0
Scott Hazell,47.0
Scott Heindl,55.0
Scott Hobson,46.0
Scott Hodges,58.0
Scott Honea,46.0
Scott Horton,34.0
Scott Howell,58.0
Scott Hulbert,40.0
Scott Hunter,21.0
Scott Hunter McGuire,61.0
Scott Hussion,25.0
Scott Hylands,51.0
Scott Isham,41.0
Scott Janes,50.0
Scott Johnsen,39.0
Scott Johnson,59.0
Scott Keiji Takeda,56.0
Scott Klace,64.0
Scott Knisley,85.0
Scott Kolk,91.0
Scott Kraft,60.5
Scott Krinsky,73.0
Scott Krupnick,62.0
Scott LaRose,51.0
Scott Lawrence,54.5
Scott Lincoln,70.0
Scott Lowell,55.0
Scott Lunsford,28.0
Scott Lyster,35.0
Scott MacArthur,49.75
Scott MacDonald,50.666666666666664
Scott Marlowe,70.0
Scott Martin,42.0
Scott Martin Brooks,57.0
Scott Martineck,68.0
Scott Matthews,25.0
Scott McCloud,34.0
Scott McCord,49.0
Scott McElroy,39.0
Scott McGinnis,51.0
Scott McKenna,50.0
Scott McLean,48.0
Scott McMillion,79.0
Scott McNeil,25.0
Scott Mechlowicz,46.833333333333336
Scott Menville,46.5
Scott Michael Campbell,43.0
Scott Michael Foster,31.0
Scott Michael Vance,54.0
Scott Morgan,46.333333333333336
Scott Mosier,70.5
Scott Moutter,39.0
Scott N. Stevens,48.0
Scott Nankivel,44.0
Scott Narver,60.0
Scott Nemes,21.0
Scott Nicholson,43.0
Scott Norman,59.0
Scott Nunnally,52.0
Scott Oster,76.0
Scott Owen,40.0
Scott Parisi,43.0
Scott Parks,31.0
Scott Patrick Green,63.666666666666664
Scott Patterson,30.0
Scott Paulin,57.5
Scott Peat,50.0
Scott Perry,64.0
Scott Pitts,54.0
Scott Porter,48.875
Scott Poythress,51.5
Scott Prendergast,34.5
Scott Price,22.0
Scott Rader,54.0
Scott Reed,28.0
Scott Reeves,14.0
Scott Richards,1.0
Scott Roman,29.0
Scott Ryan,32.0
Scott Schiaffo,37.5
Scott Schultz,57.0
Scott Schwartz,46.5
Scott Sener,69.0
Scott Severance,56.0
Scott Seymour,28.0
Scott Sharot,32.0
Scott Sheldon,31.0
Scott Shepherd,54.375
Scott Simpson,69.0
Scott Smeeks,63.0
Scott Sortman,44.0
Scott Sowers,46.666666666666664
Scott Speedman,38.916666666666664
Scott Spiegel,69.0
Scott Stone,30.0
Scott Subiono,39.0
Scott T. Whitesell,33.0
Scott Takeda,51.666666666666664
Scott Terra,43.666666666666664
Scott Thomas,71.0
Scott Thompson,42.75
Scott Thomson,44.44444444444444
Scott Tiler,36.0
Scott Vance,40.5
Scott Vickaryous,29.5
Scott Walker,40.333333333333336
Scott Weinger,86.0
Scott Wentworth,54.5
Scott Whyte,20.0
Scott Wickware,43.5
Scott Wilkinson,49.0
Scott Williamson,71.0
Scott Wills,32.0
Scott Wilson,50.57142857142857
Scott Wolf,62.5
Scott Yaphe,34.666666666666664
Scottie Coleman,71.0
Scottie Epstein,49.0
Scottie Thompson,47.0
Scotty Crowe,95.0
Scotty Leavenworth,59.0
Scotty Lee,70.0
Scotty Mattraw,95.0
Scotty Nelson,70.0
Scotty Noyd Jr.,56.333333333333336
Scotty Sachs,32.0
Scout Alter,27.0
Scout Taylor-Compton,36.5
Screamin' Jay Hawkins,80.0
Screechie Bop,36.0
Se Oh,25.0
Sea McHale,59.0
Seabass Diamond,45.0
Seamon Glass,80.0
Seamus Ball,56.0
Seamus Davey-Fitzpatrick,54.857142857142854
Seamus Hurley,38.0
Seamus Moroney,55.0
Seamus Mulcahy,38.0
Sean,64.0
Sean A. Rosales,31.0
Sean Allen,73.0
Sean Amsing,42.0
Sean Anders,41.0
Sean Andrew,56.0
Sean Anthony,31.0
Sean Anthony Moran,83.0
Sean Arbuckle,47.0
Sean Astin,43.333333333333336
Sean Attebury,46.0
Sean Bailey,40.0
Sean Baker,60.0
Sean Barrett,42.0
Sean Baxter,63.0
Sean Bean,43.85
Sean Bell,38.0
Sean Bishop,56.0
Sean Blakemore,58.0
Sean Blodgett,65.0
Sean Bolger,54.0
Sean Bones,54.0
Sean Bott,82.0
Sean Boyd,33.0
Sean Bridgers,50.72727272727273
Sean Brosnan,14.0
Sean Burns,37.0
Sean Buxton,58.0
Sean Byrnes,37.0
Sean Cameron Michael,24.5
Sean Carney Daly,54.0
Sean Carrigan,41.0
Sean Charmatz,53.0
Sean Connery,55.11764705882353
Sean Conroy,40.0
Sean Cook,53.0
Sean Cory Cooper,66.0
Sean Cowhig,50.0
Sean Cregan,36.0
Sean Cullen,47.25
Sean Curley,46.0
Sean Cw Johnson,44.0
Sean Daniel,22.0
Sean Dennehy,42.0
Sean Dillingham,46.0
Sean Donavan,54.0
Sean Donovan,69.0
Sean Douglas,63.0
Sean Dugan,30.5
Sean Duggan,53.5
Sean Dulake,38.0
Sean Edwards,46.0
Sean Faris,38.0
Sean Farley,34.0
Sean Fogarty,43.0
Sean Fox,39.0
Sean Fredricks,49.0
Sean Frye,81.0
Sean Gallagher,45.0
Sean Giambrone,71.0
Sean Gilder,55.0
Sean Gilvary,48.0
Sean Gullette,66.0
Sean Gunn,52.5
Sean H. Scully,43.5
Sean H.A. Gallagher,49.0
Sean Hagerty,33.0
Sean Hankinson,43.0
Sean Hannon,45.0
Sean Happy,61.0
Sean Harris,60.5
Sean Hartley,66.0
Sean Hayes,40.2
Sean Hennigan,41.0
Sean Hewlett,33.0
Sean Hudock,50.5
Sean Huze,63.0
Sean James,21.0
Sean Johnson,65.0
Sean Jones,52.0
Sean Kanan,36.0
Sean Kearns,75.0
Sean Kellman,62.0
Sean Kelly,52.0
Sean Kelso,67.0
Sean Kenin,30.0
Sean Kennedy,66.0
Sean Kryston,68.0
Sean Lawlor,44.0
Sean Lennon,81.0
Sean Liang,61.0
Sean MacMahon,69.0
Sean Maguire,9.0
Sean Maher,76.0
Sean Mahon,70.33333333333333
Sean Malone,32.0
Sean Marquette,31.5
Sean Marshall,46.0
Sean Maysonet,29.0
Sean McCabe,77.0
Sean McCann,64.33333333333333
Sean McClory,37.0
Sean McDonagh,37.0
Sean McGinley,55.25
Sean McGowan,20.0
Sean McGrath,45.0
Sean McGuirk,76.0
Sean McNabb,30.0
Sean McNall,48.0
Sean Meehan,56.0
Sean Michael Afable,45.5
Sean Michael Allen,40.0
Sean Michal Flynn,74.0
Sean Morgan,42.0
Sean Murray,53.0
Sean Naegeli,63.0
Sean Nateghi,34.0
Sean Neff,66.0
Sean Nelson,51.333333333333336
Sean Nepita,40.0
Sean O'Bryan,44.142857142857146
Sean O'Malley,66.0
Sean Orr,45.0
Sean Owen Roberts,43.666666666666664
Sean P. Donahue,70.0
Sean P. Young,29.0
Sean Patrick Doyle,39.0
Sean Patrick Flanery,34.81818181818182
Sean Patrick Folster,54.0
Sean Patrick Murphy,43.0
Sean Patrick Reilly,44.0
Sean Patrick Thomas,50.72727272727273
Sean Paul Lockhart,23.0
Sean Penn,60.03030303030303
Sean Pertwee,40.333333333333336
Sean Pilz,41.0
Sean Powers,56.0
Sean Price Williams,66.5
Sean Rahill,45.0
Sean Reda,59.0
Sean Reid,63.0
Sean Ringgold,60.5
Sean Rogers,55.0
Sean Salisbury,25.0
Sean Scanlan,73.0
Sean Scott,61.0
Sean Shyboy Davis,65.0
Sean Sisson,55.0
Sean Smith,29.0
Sean Stanek,55.0
Sean Stone,50.0
Sean Sullivan,62.6
Sean T. Krishnan,54.5
Sean Taylor,26.0
Sean Teale,28.0
Sean Theriault,56.0
Sean Thibodeau,40.0
Sean Timothy Sexton,46.0
Sean Tucker,67.0
Sean Tyrell,65.0
Sean Tyson,35.0
Sean Von Buseck,57.0
Sean Wayne Doyle,81.0
Sean Whalen,46.44444444444444
Sean Wing,28.0
Sean Wolf Hill,61.0
Sean Young,47.166666666666664
Seana Carroll,47.0
Seann Conway,78.0
Seann William Scott,46.36363636363637
Season Hubley,69.5
Season Oglesby,42.0
Sebastian Arcelus,36.5
Sebastian Armesto,62.0
Sebastian Banes,82.0
Sebastian Beacon,62.0
Sebastian Bull Sarning,71.0
Sebastian Cabot,64.33333333333333
Sebastian Celis,46.0
Sebastian Chacon,60.5
Sebastian Eugene Hansen,68.0
Sebastian Feldman,50.0
Sebastian Hedges Thomas,36.0
Sebastian Hülk,53.0
Sebastian Knapp,46.0
Sebastian Koch,44.666666666666664
Sebastian La Cause,79.0
Sebastian Lopez Hinton,57.0
Sebastian MacLean,57.0
Sebastian Maniscalco,57.5
Sebastian Martinez,44.0
Sebastian Martínez,39.0
Sebastian Michael Barr,33.0
Sebastian Pigott,45.0
Sebastian Rice-Edwards,86.0
Sebastian Robertson,33.0
Sebastian Roché,46.0
Sebastian Santamaria,57.0
Sebastian Saraceno,46.0
Sebastian Shaw,58.0
Sebastian Siegel,39.0
Sebastian Sozzi,58.75
Sebastian Spence,54.0
Sebastian Stan,54.86363636363637
Sebastian Tillinger,57.0
Sebastian Urzendowsky,66.0
Sebastian Vázquez,32.0
Sebastian Wikenczy Thomsen,49.0
Sebastien Andrieu,18.0
Sebastien Foucan,80.0
Sebastien Torkia,53.0
Sebastián Cano,41.0
Sebastián Silva,64.0
Sebastjan Bergman,58.0
Seda Witt,69.0
Sedale Threatt Jr.,61.0
Sedona Feretto,31.0
Sedona Legge,59.0
Seema Biswas,58.0
Seema Pravin Shende,65.0
Seema Rahmani,24.0
Segun Akande,63.0
Segundo Murayari Canaquiri,77.0
Seidy Lopez,41.0
Seiichiro Hashimoto,49.0
Seiji Funamoto,61.0
Seiko Chiba,23.0
Seirah Royin,49.0
Sela Ward,51.4
Selah Atwood,88.0
Selah Victor,38.0
Selcen Onsan,31.0
Selena Anduze,62.0
Selena Gomez,44.07692307692308
Selena Haddad,73.0
Selena Mars,54.0
Selene Luna,81.0
Selenis Leyva,70.0
Selima Smith-Dell,48.0
Selin Baykal,49.0
Selina Griffiths,68.0
Selina Jayne,39.0
Selita Ebanks,62.0
Sello Maake Ka-Ncube,68.0
Selma Archerd,55.0
Selma Blair,48.05
Selma Diamond,74.0
Selma Stern,36.5
Selçuk Yöntem,26.0
Semih Bedir,56.0
Semion Sudarikov,73.0
Semz,52.0
Senan Jennings,64.0
Sendhil Ramamurthy,53.666666666666664
Senhorinha Gama Da Costa Lobo,55.0
Senna Avedisian,72.0
Sensi Pearl,33.0
Senta Berger,62.0
Senta Moses Mikan,46.0
Seo-hyun Ahn,75.0
Seong-guk Choi,63.0
Seoras Wallace,42.0
Ser'Darius Blain,53.8
Serafina Fiore,70.0
Serafina Giuliano,64.0
Serataren Adragna,69.0
Serayah,63.0
Serban Celea,31.0
Serena Brabazon,57.0
Serena Gordon,71.5
Serena Reeder,47.333333333333336
Serena Scott Thomas,60.666666666666664
Serendipity Lilliana,33.0
Serene Branson,23.0
Serenity Reign Brown,34.0
Seret Scott,66.0
Serge Basso,31.0
Serge Christiaenssens,47.0
Serge Cockburn,37.0
Serge Didenko,43.0
Serge Fedoroff,35.0
Serge Feuillard,47.0
Serge Hollogne,36.0
Serge Houde,53.2
Serge Jaswal,47.0
Serge Levin,38.0
Serge Marquand,77.0
Serge Onteniente,48.0
Serge Reggiani,61.0
Serge Soric,56.0
Sergei Polunin,53.0
Sergei Ryabtsev,58.0
Sergej Onopko,71.0
Sergej Trifunovic,52.666666666666664
Sergey Chekrygin,51.0
Sergey Gubanov,26.0
Sergey Kolesnikov,45.0
Sergey Puskepalis,62.0
Sergey Veksler,62.0
Sergio Avelar,60.0
Sergio Benvindo,70.0
Sergio Calderón,60.0
Sergio Castellitto,64.0
Sergio Cilli,73.0
Sergio D. Acosta,67.0
Sergio Di Zio,51.333333333333336
Sergio Enrique,35.0
Sergio Estrada,65.0
Sergio Figueroa,49.0
Sergio Joachim,11.0
Sergio Jones,30.5
Sergio Martinez,30.0
Sergio Montalvo,64.0
Sergio Peris-Mencheta,30.25
Sergio Rizzuto,13.0
Sergio Rubini,76.0
Sergio Torrado,79.0
Sergio Villarreal,52.0
Sergiu Costache,3.0
Sergo Shvedkov,31.0
Serinda Swan,34.666666666666664
Serjão Loroza,57.0
Servando Villamil,45.0
Sessue Hayakawa,74.0
Seth Adams,40.5
Seth Adkins,48.75
Seth Allen,75.0
Seth Austin,31.0
Seth Ayott,61.5
Seth Baker,53.0
Seth Barrish,51.5
Seth Bellinger,60.0
Seth Buchwald,39.0
Seth Carlin,64.0
Seth Carr,47.0
Seth Cassell,21.0
Seth Chatfield,42.0
Seth Coltan,35.0
Seth Dousman,46.0
Seth Dubois,71.0
Seth Duhame,64.0
Seth Gabel,45.666666666666664
Seth Gertsacov,59.0
Seth Gilliam,53.333333333333336
Seth Ginsberg,53.0
Seth Granger,53.0
Seth Green,43.43478260869565
Seth Isler,45.0
Seth Jaffe,35.0
Seth Koen,46.0
Seth Lee,51.0
Seth MacFarlane,52.875
Seth Macari,24.0
Seth Meriwether,49.0
Seth Meyers,34.0
Seth Michaels,51.0
Seth Morris,58.333333333333336
Seth Mossman,63.0
Seth Numrich,68.0
Seth Peterson,37.0
Seth Rogen,61.125
Seth Romatelli,26.0
Seth Ruffer,47.0
Seth Sakai,36.0
Seth Sharp,40.0
Seth Smith,31.0
Seth St. Laurent,42.0
Seth Warren,72.0
Seth Young,65.0
Sethy Dy,51.0
Setu Taase,52.0
Seu Jorge,54.333333333333336
Seumas F. Sargent,56.0
Seung-Min Lee,84.0
Seung-mok Yoo,65.0
Sevan Aliksanian,40.0
Severn Darden,50.5
Sewell Whitney,39.833333333333336
Seychelle Gabriel,45.333333333333336
Seydou Boro,66.0
Seygundiba Izquierdo,39.0
Seylan Baxter,63.5
Seymour Cassel,51.793103448275865
Seymour Kramer,62.0
Seán Cullen,68.0
Señor Marco,81.0
Shaan Puri,56.0
Shaana Levy,71.0
Shabana Azmi,37.666666666666664
Shacha Temirov,89.0
Shacolby Randell,42.0
Shad Moss,41.57142857142857
Shae D'lyn,53.333333333333336
Shae Norris,57.5
Shafi Sahel,37.0
Shah Nawaz,58.0
Shah Rukh Khan,55.0
Shahadi Wright Joseph,68.0
Shahana Goswami,60.0
Shahar Sorek,28.0
Shaheen Khan,66.0
Shaheena Langoo,58.0
Shahid Ahmed,45.0
Shahine Ezell,36.0
Shahira Fahmy,62.0
Shahkrit Yamnarm,24.0
Shaike Ophir,29.0
Shaila Rubin,47.0
Shailene Woodley,56.4
Shailyn Pierre-Dixon,40.0
Shaina,63.0
Shaista Latif,78.0
Shakara Ledard,48.0
Shake Tukhmanyan,78.0
Shakei Brown,44.0
Shakes Myeko,74.0
Shakiem Evans,52.0
Shakira,78.0
Shakira Caine,91.0
Shakira Ja'nai Paye,60.0
Shakira Vanise Gamble,38.0
Shakti Chen,37.0
Shaliew 'Lek' Bamrungbun,46.0
Shalisha James-Davis,60.0
Shalom Harlow,47.875
Shamar Sanders,30.0
Shamari Fears,52.0
Shamasi Sarumi,65.0
Shamauri Hawkins,63.0
Shameik Moore,50.666666666666664
Shamier Anderson,46.333333333333336
Shamika Cotton,56.666666666666664
Shamron Moore,45.0
Shamus Locke,72.0
Shamyl Brown,26.0
Shana Dowdeswell,64.0
Shana Gagnon,29.0
Shana Greenbaum,1.0
Shana Hiatt,33.0
Shana Kaplan,67.0
Shandee Lang,13.0
Shandor Garrison,46.0
Shandra Beri,73.0
Shane,56.0
Shane Attwooll,25.0
Shane Bailey,46.0
Shane Barbanel,40.0
Shane Baumel,64.5
Shane Beasley,41.0
Shane Black,45.0
Shane Bowen,45.0
Shane Brady,70.33333333333333
Shane Brolly,38.5
Shane Callahan,33.0
Shane Callan,45.0
Shane Carpenter,51.0
Shane Carruth,69.0
Shane Carson,31.0
Shane Coffey,43.666666666666664
Shane Cook-Harris,36.0
Shane Daly,39.0
Shane Dawson,13.0
Shane Dean,36.0
Shane Edelman,53.0
Shane Epstein Petrullo,44.0
Shane Graham,69.0
Shane Guilbeau,56.0
Shane Harper,32.0
Shane Hartline,47.0
Shane Jacobsen,49.666666666666664
Shane James Bordas,73.0
Shane Johnson,41.5
Shane Kelly,48.0
Shane Kinsman,46.0
Shane McCamey,29.0
Shane McRae,72.0
Shane Meier,43.0
Shane Murray-Corcoran,54.0
Shane Nilsson,57.0
Shane Obedzinski,55.0
Shane Partlow,41.0
Shane Paul McGhie,30.0
Shane Powers,40.0
Shane Rangi,64.0
Shane Richie,74.0
Shane Rimmer,67.0
Shane Serwin,79.0
Shane Sinutko,60.0
Shane Skelton,65.0
Shane Steiner,45.0
Shane Steyn,64.0
Shane Stuart,51.0
Shane T. Anderson,40.0
Shane Taylor,43.0
Shane Vajda,43.0
Shane West,35.44444444444444
Shane Whisker,45.0
Shane Woodson,22.0
Shane Zaza,46.0
Shanelle Freeman,82.0
Shanelle Gray,34.0
Shanelle Henry,45.0
Shanesia Davis,58.0
Shanessa Sweeney,37.0
Shango Rich,65.0
Shani Drake,64.0
Shani Salyers Stiles,89.0
Shani Wallis,73.0
Shania Twain,34.0
Shanice Banton,26.0
Shankar Nisode,69.0
Shanley Caswell,56.5
Shanna Collins,40.333333333333336
Shanna Forrestall,48.0
Shannah Laumeister Stern,78.0
Shannen Doherty,55.6
Shannen Fields,38.0
Shannon Barnett,43.0
Shannon Barry,66.0
Shannon Briggs,58.5
Shannon Brown,28.0
Shannon Carson,71.0
Shannon Chan-Kent,47.0
Shannon Cochran,49.333333333333336
Shannon Collins,71.0
Shannon Collis,72.0
Shannon Day,62.0
Shannon Destiny Ryan,43.0
Shannon Eagen,68.0
Shannon Elizabeth,34.61538461538461
Shannon Esper,40.0
Shannon Ferber,24.0
Shannon Finn,59.0
Shannon Floyd,41.0
Shannon Garland,60.0
Shannon Haragan,70.0
Shannon Hartman,67.0
Shannon Hollander,74.0
Shannon Holt,30.0
Shannon Hoppe,54.0
Shannon Jardine,31.0
Shannon Kane,42.0
Shannon Kathleen Baker,71.0
Shannon Kipp,55.0
Shannon Kook,53.5
Shannon Larratt,65.0
Shannon Lawson,44.0
Shannon Lee,45.0
Shannon Lemke,32.0
Shannon Lewis,47.0
Shannon Lucio,42.5
Shannon Makhanian,49.0
Shannon Marie Sullivan,51.0
Shannon Nelson,28.0
Shannon Nicole,59.0
Shannon O'Hurley,54.0
Shannon O'Neill,78.0
Shannon Penrod,45.0
Shannon Perez,37.0
Shannon Perreault,22.0
Shannon Plumb,55.333333333333336
Shannon Purser,46.0
Shannon Sedwick,81.0
Shannon Sharpe,78.0
Shannon Shea,71.0
Shannon Stillo,79.0
Shannon Tarbet,25.0
Shannon Tweed,41.0
Shannon Walker Williams,70.0
Shannon Wetzel,30.0
Shannon Whirry,31.0
Shannon Wilcox,51.5
Shannon Williams,38.0
Shannon Woodward,36.5
Shannyn Sossamon,44.214285714285715
Shanola Hampton,47.333333333333336
Shanon Harper,74.0
Shantel VanSanten,30.0
Shantell Herndon,57.0
Shantell Yasmine Abeydeera,56.0
Shanthini Venugopal,56.0
Shanti Carson,64.0
Shanti Hiranand,80.0
Shanti Roney,54.0
Shanyn Leigh,62.0
Shaobo Qin,62.0
Shaohua Yang,57.0
Shaowei Xin,51.0
Shaquan Lewis,39.0
Shaquille Ali-Yebuah,62.0
Shaquille O'Neal,37.111111111111114
Shar Jackson,41.0
Shara Orano,53.0
Sharae Foxie,75.0
Sharan Lea,43.0
Shareefa Daanish,69.0
Shareeka Epps,48.2
Shareen Mitchell,38.0
Shari Albert,65.0
Shari Dunn,44.0
Shari Dyon Perry,32.0
Shari Hall,92.0
Shari Headley,41.0
Shari Hilton,70.0
Shari Rigby,17.0
Shari Shattuck,33.0
Shari Solanis,24.0
Shari Springer Berman,90.0
Shari Summers,62.0
Shari Weiser,50.0
Sharia Pierce,60.0
Sharib Hashmi,84.0
Sharice A. Williams,35.0
Sharif Omar,32.0
Sharif Rashed,59.5
Sharif Sharbek,31.0
Shariff Earp,99.0
Sharisse Baker-Bernard,59.0
Sharlene Martin,36.0
Sharlene Royer,61.0
Sharlene Taulé,36.0
Sharlie Stuart,63.0
Sharlto Copley,54.0
Sharmina Harrower,69.0
Sharmita Bhattacharya,63.5
Sharni Vinson,55.5
Sharolyn Sparrow,25.0
Sharon Anderson,85.0
Sharon Angela,52.833333333333336
Sharon Belle,69.0
Sharon Blackwood,51.4
Sharon Breslau,52.0
Sharon Brown,43.5
Sharon Chatten,61.0
Sharon Clark,54.0
Sharon Conley,49.5
Sharon Cook,60.0
Sharon Cornell,63.0
Sharon Crandall,60.0
Sharon D. Clarke,43.0
Sharon DelaBarre,35.0
Sharon Ernster,52.0
Sharon Farrell,61.8
Sharon Ferguson,53.0
Sharon Frese,14.0
Sharon Gans,66.0
Sharon Garrison,76.0
Sharon Gee,44.333333333333336
Sharon Gless,60.0
Sharon Hanian,60.0
Sharon Hays,43.0
Sharon Hill,50.0
Sharon Hope,62.0
Sharon Horgan,55.5
Sharon Ivers,61.0
Sharon J. Robinson,48.0
Sharon Jamison,57.0
Sharon K. Brecke,55.0
Sharon K. London,35.0
Sharon K. Tew,24.0
Sharon Kubo,68.0
Sharon Landry,63.0
Sharon Lawrence,44.5
Sharon Leal,47.55555555555556
Sharon Maughan,40.0
Sharon McFarlane,93.0
Sharon McNight,68.0
Sharon Mitchell,22.0
Sharon Murray,77.0
Sharon Percival,50.0
Sharon Raab Downs,57.0
Sharon Schaffer,4.0
Sharon Scruggs,71.0
Sharon Small,75.0
Sharon Smith,44.0
Sharon Stone,43.041666666666664
Sharon Tate,37.666666666666664
Sharon Tay,76.0
Sharon Taylor,9.0
Sharon Thomas Cain,50.0
Sharon Ullrick,93.0
Sharon Van Etten,69.5
Sharon Van Ivan,30.0
Sharon Vanderveer,47.0
Sharon Warren,73.0
Sharon Washington,64.0
Sharon Wilkins,51.5
Sharon Wyatt,36.666666666666664
Sharrieff Pugh,55.0
Sharron Alexis,47.0
Sharron Shannon,18.0
Sharyn Grose,62.0
Sharyn Wynters,77.0
Shashawnee Hall,33.0
Shashi Bhatia,82.0
Shashi Kapoor,80.0
Shaula Vega,33.0
Shaun Austin-Olsen,31.0
Shaun Aylward,83.0
Shaun Baker,64.0
Shaun Benson,46.333333333333336
Shaun Cameron Hall,51.0
Shaun Clarke,83.0
Shaun Clay,49.0
Shaun Daley,42.0
Shaun Dooley,62.0
Shaun Duke,51.666666666666664
Shaun Evans,50.333333333333336
Shaun Fleming,74.0
Shaun Fletcher,63.0
Shaun J. Brown,46.5
Shaun L. White Guy Sr.,62.0
Shaun Micallef,51.0
Shaun O'Banion,42.0
Shaun O'Hagan,47.0
Shaun P. O'Hagan,64.0
Shaun Parkes,48.0
Shaun Robinson,61.0
Shaun Ryder,12.0
Shaun Sipos,34.666666666666664
Shaun T. Benjamin,45.0
Shaun Taylor-Corbett,28.0
Shaun Thomas,44.0
Shaun Toub,51.666666666666664
Shaun W. Loeser,42.0
Shaun Weiss,43.0
Shaun White,63.0
Shauna Baker,55.0
Shauna Johannesen,57.0
Shauna Kain,29.0
Shauna Lyon,75.0
Shauna MacDonald,69.0
Shauna Macdonald,56.0
Shauna Rappold,81.0
Shauna Richardson,54.0
Shauna Sauls,39.0
Shauna Shim,38.0
Shaundene Begay,55.0
Shaunery Stevens,48.0
Shavidee Trotter,69.0
Shavon Kirksey,32.0
Shaw Jones,75.0
Shaw Mahmood,32.0
Shawand McKenzie,55.0
Shawn Ahmed,30.0
Shawn Allen McLaughlin,60.0
Shawn Andrews,55.333333333333336
Shawn Ashmore,45.25
Shawn Bishop,90.0
Shawn Bradley,59.0
Shawn C. Phillips,12.0
Shawn Cacciola,60.0
Shawn Calizo,54.0
Shawn Carson,56.0
Shawn Christensen,47.0
Shawn Christian,43.0
Shawn Colvin,47.0
Shawn Crahan,26.0
Shawn Doyle,42.75
Shawn Driscoll,67.0
Shawn Elliott,43.75
Shawn Faqua,61.0
Shawn Fernandez,63.0
Shawn FitzGerald,53.0
Shawn Hatosy,51.06666666666667
Shawn Henter,71.0
Shawn Hewitt,79.0
Shawn Howell,76.0
Shawn Huff,48.0
Shawn J. Hamilton,49.0
